Time, ADC Value, ADC Error
1.406250000000000000e+01,6.700000000000000000e+01,1.200000000000000000e+01
1.562500000000000000e+01,6.900000000000000000e+01,2.300000000000000000e+01
1.718750000000000000e+01,6.900000000000000000e+01,1.800000000000000000e+01
1.875000000000000000e+01,6.900000000000000000e+01,1.700000000000000000e+01
2.031250000000000000e+01,6.700000000000000000e+01,1.200000000000000000e+01
2.187500000000000000e+01,6.700000000000000000e+01,1.200000000000000000e+01
2.343750000000000000e+01,7.100000000000000000e+01,1.800000000000000000e+01
0.000000000000000000e+00,6.900000000000000000e+01,1.600000000000000000e+01
1.562500000000000000e+00,6.500000000000000000e+01,1.600000000000000000e+01
3.125000000000000000e+00,6.600000000000000000e+01,1.600000000000000000e+01
4.687500000000000000e+00,7.100000000000000000e+01,1.400000000000000000e+01
6.250000000000000000e+00,7.000000000000000000e+01,1.400000000000000000e+01
7.812500000000000000e+00,6.900000000000000000e+01,2.000000000000000000e+01
9.375000000000000000e+00,6.700000000000000000e+01,1.500000000000000000e+01
1.093750000000000000e+01,7.100000000000000000e+01,1.400000000000000000e+01
1.250000000000000000e+01,6.800000000000000000e+01,1.300000000000000000e+01
3.906250000000000000e+01,9.280000000000000000e+02,2.840000000000000000e+02
4.062500000000000000e+01,7.350000000000000000e+02,4.390000000000000000e+02
4.218750000000000000e+01,7.810000000000000000e+02,4.180000000000000000e+02
4.375000000000000000e+01,8.780000000000000000e+02,3.430000000000000000e+02
4.531250000000000000e+01,8.310000000000000000e+02,3.830000000000000000e+02
4.687500000000000000e+01,8.310000000000000000e+02,3.830000000000000000e+02
4.843750000000000000e+01,8.330000000000000000e+02,3.780000000000000000e+02
2.500000000000000000e+01,7.500000000000000000e+01,2.000000000000000000e+01
2.656250000000000000e+01,8.700000000000000000e+01,2.400000000000000000e+01
2.812500000000000000e+01,1.240000000000000000e+02,5.600000000000000000e+01
2.968750000000000000e+01,1.950000000000000000e+02,1.210000000000000000e+02
3.125000000000000000e+01,3.150000000000000000e+02,1.710000000000000000e+02
3.281250000000000000e+01,3.600000000000000000e+02,2.280000000000000000e+02
3.437500000000000000e+01,6.730000000000000000e+02,1.490000000000000000e+02
3.593750000000000000e+01,4.650000000000000000e+02,3.950000000000000000e+02
3.750000000000000000e+01,2.440000000000000000e+02,3.540000000000000000e+02
6.406250000000000000e+01,6.850000000000000000e+02,1.160000000000000000e+02
6.562500000000000000e+01,6.710000000000000000e+02,2.130000000000000000e+02
6.718750000000000000e+01,5.710000000000000000e+02,3.070000000000000000e+02
6.875000000000000000e+01,5.810000000000000000e+02,1.800000000000000000e+02
7.031250000000000000e+01,5.710000000000000000e+02,2.370000000000000000e+02
7.187500000000000000e+01,6.540000000000000000e+02,3.020000000000000000e+02
7.343750000000000000e+01,6.370000000000000000e+02,3.090000000000000000e+02
5.000000000000000000e+01,8.580000000000000000e+02,3.440000000000000000e+02
5.156250000000000000e+01,7.380000000000000000e+02,4.300000000000000000e+02
5.312500000000000000e+01,5.570000000000000000e+02,4.670000000000000000e+02
5.468750000000000000e+01,6.420000000000000000e+02,4.310000000000000000e+02
5.625000000000000000e+01,7.880000000000000000e+02,2.880000000000000000e+02
5.781250000000000000e+01,6.230000000000000000e+02,3.350000000000000000e+02
5.937500000000000000e+01,7.590000000000000000e+02,7.600000000000000000e+01
6.093750000000000000e+01,6.560000000000000000e+02,2.540000000000000000e+02
6.250000000000000000e+01,4.550000000000000000e+02,3.610000000000000000e+02
8.906250000000000000e+01,4.250000000000000000e+02,1.990000000000000000e+02
9.062500000000000000e+01,4.660000000000000000e+02,2.750000000000000000e+02
9.218750000000000000e+01,4.800000000000000000e+02,2.610000000000000000e+02
9.375000000000000000e+01,3.830000000000000000e+02,1.970000000000000000e+02
9.531250000000000000e+01,4.560000000000000000e+02,2.640000000000000000e+02
9.687500000000000000e+01,6.110000000000000000e+02,3.140000000000000000e+02
9.843750000000000000e+01,5.590000000000000000e+02,3.140000000000000000e+02
7.500000000000000000e+01,5.410000000000000000e+02,2.230000000000000000e+02
7.656250000000000000e+01,5.180000000000000000e+02,2.820000000000000000e+02
7.812500000000000000e+01,4.190000000000000000e+02,2.470000000000000000e+02
7.968750000000000000e+01,4.200000000000000000e+02,2.310000000000000000e+02
8.125000000000000000e+01,4.810000000000000000e+02,2.240000000000000000e+02
8.281250000000000000e+01,4.890000000000000000e+02,1.830000000000000000e+02
8.437500000000000000e+01,4.950000000000000000e+02,1.930000000000000000e+02
8.593750000000000000e+01,5.330000000000000000e+02,2.770000000000000000e+02
8.750000000000000000e+01,4.580000000000000000e+02,2.830000000000000000e+02
1.140625000000000000e+02,3.150000000000000000e+02,1.860000000000000000e+02
1.156250000000000000e+02,3.130000000000000000e+02,1.870000000000000000e+02
1.171875000000000000e+02,3.210000000000000000e+02,1.550000000000000000e+02
1.187500000000000000e+02,3.240000000000000000e+02,1.870000000000000000e+02
1.203125000000000000e+02,3.950000000000000000e+02,2.430000000000000000e+02
1.218750000000000000e+02,4.750000000000000000e+02,2.950000000000000000e+02
1.234375000000000000e+02,3.300000000000000000e+02,1.840000000000000000e+02
1.000000000000000000e+02,3.820000000000000000e+02,2.330000000000000000e+02
1.015625000000000000e+02,4.470000000000000000e+02,2.980000000000000000e+02
1.031250000000000000e+02,3.400000000000000000e+02,1.780000000000000000e+02
1.046875000000000000e+02,3.690000000000000000e+02,2.240000000000000000e+02
1.062500000000000000e+02,3.970000000000000000e+02,2.560000000000000000e+02
1.078125000000000000e+02,3.810000000000000000e+02,1.760000000000000000e+02
1.093750000000000000e+02,2.960000000000000000e+02,1.170000000000000000e+02
1.109375000000000000e+02,4.090000000000000000e+02,2.490000000000000000e+02
1.125000000000000000e+02,3.540000000000000000e+02,2.270000000000000000e+02
